
Code,Display,Definition,Status,DeprecatedVersion,ConceptComment,ConceptCommentPublished
X01,PEX - Product experience,PEX - Product experience,A,2.9,,
A01,ADT/ACK - Admit/visit notification,ADT/ACK - Admit/visit notification,A,,,
A02,ADT/ACK - Transfer a patient,ADT/ACK - Transfer a patient,A,,,
A03,ADT/ACK -  Discharge/end visit,ADT/ACK -  Discharge/end visit,A,,,
A04,ADT/ACK -  Register a patient,ADT/ACK -  Register a patient,A,,,
A05,ADT/ACK -  Pre-admit a patient,ADT/ACK -  Pre-admit a patient,A,,,
A06,ADT/ACK -  Change an outpatient to an inpatient,ADT/ACK -  Change an outpatient to an inpatient,A,,,
A07,ADT/ACK -  Change an inpatient to an outpatient,ADT/ACK -  Change an inpatient to an outpatient,A,,,
A08,ADT/ACK -  Update patient information,ADT/ACK -  Update patient information,A,,,
A09,ADT/ACK -  Patient departing - tracking,ADT/ACK -  Patient departing - tracking,A,,,
A10,ADT/ACK -  Patient arriving - tracking,ADT/ACK -  Patient arriving - tracking,A,,,
A11,ADT/ACK -  Cancel admit/visit notification,ADT/ACK -  Cancel admit/visit notification,A,,,
A12,ADT/ACK -  Cancel transfer,ADT/ACK -  Cancel transfer,A,,,
A13,ADT/ACK -  Cancel discharge/end visit,ADT/ACK -  Cancel discharge/end visit,A,,,
A14,ADT/ACK -  Pending admit,ADT/ACK -  Pending admit,A,,,
A15,ADT/ACK -  Pending transfer,ADT/ACK -  Pending transfer,A,,,
A16,ADT/ACK -  Pending discharge,ADT/ACK -  Pending discharge,A,,,
A17,ADT/ACK -  Swap patients,ADT/ACK -  Swap patients,A,,,
A18,ADT/ACK -  Merge patient information,ADT/ACK -  Merge patient information,D,,Deprecated,Deprecated
A19,QRY/ADR -  Patient query,QRY/ADR -  Patient query,D,,Deprecated,Deprecated
A20,ADT/ACK -  Bed status update,ADT/ACK -  Bed status update,A,,,
A21,"ADT/ACK -  Patient goes on a ""leave of absence""","ADT/ACK -  Patient goes on a ""leave of absence""",A,,,
A22,"ADT/ACK -  Patient returns from a ""leave of absence""","ADT/ACK -  Patient returns from a ""leave of absence""",A,,,
A23,ADT/ACK -  Delete a patient record,ADT/ACK -  Delete a patient record,A,,,
A24,ADT/ACK -  Link patient information,ADT/ACK -  Link patient information,A,,,
A25,ADT/ACK -  Cancel pending discharge,ADT/ACK -  Cancel pending discharge,A,,,
A26,ADT/ACK -  Cancel pending transfer,ADT/ACK -  Cancel pending transfer,A,,,
A27,ADT/ACK -  Cancel pending admit,ADT/ACK -  Cancel pending admit,A,,,
A28,ADT/ACK -  Add person information,ADT/ACK -  Add person information,A,,,
A29,ADT/ACK -  Delete person information,ADT/ACK -  Delete person information,A,,,
A30,ADT/ACK -  Merge person information,ADT/ACK -  Merge person information,D,,Deprecated,Deprecated
A31,ADT/ACK -  Update person information,ADT/ACK -  Update person information,A,,,
A32,ADT/ACK -  Cancel patient arriving - tracking,ADT/ACK -  Cancel patient arriving - tracking,A,,,
A33,ADT/ACK -  Cancel patient departing - tracking,ADT/ACK -  Cancel patient departing - tracking,A,,,
A34,ADT/ACK -  Merge patient information - patient ID only,ADT/ACK -  Merge patient information - patient ID only,D,,Deprecated,Deprecated
A35,ADT/ACK -  Merge patient information - account number only,ADT/ACK -  Merge patient information - account number only,D,,Deprecated,Deprecated
A36,ADT/ACK -  Merge patient information - patient ID and account number,ADT/ACK -  Merge patient information - patient ID and account number,D,,Deprecated,Deprecated
A37,ADT/ACK -  Unlink patient information,ADT/ACK -  Unlink patient information,A,,,
A38,ADT/ACK - Cancel pre-admit,ADT/ACK - Cancel pre-admit,A,,,
A39,ADT/ACK - Merge person - patient ID,ADT/ACK - Merge person - patient ID,D,,Deprecated,Deprecated
A40,ADT/ACK - Merge patient - patient identifier list,ADT/ACK - Merge patient - patient identifier list,A,,,
A41,ADT/ACK - Merge account - patient account number,ADT/ACK - Merge account - patient account number,A,,,
A42,ADT/ACK - Merge visit - visit number,ADT/ACK - Merge visit - visit number,A,,,
A43,ADT/ACK - Move patient information - patient identifier list,ADT/ACK - Move patient information - patient identifier list,A,,,
A44,ADT/ACK - Move account information - patient account number,ADT/ACK - Move account information - patient account number,A,,,
A45,ADT/ACK - Move visit information - visit number,ADT/ACK - Move visit information - visit number,A,,,
A46,ADT/ACK - Change patient ID,ADT/ACK - Change patient ID,D,,Deprecated,Deprecated
A47,ADT/ACK - Change patient identifier list,ADT/ACK - Change patient identifier list,A,,,
A48,ADT/ACK - Change alternate patient ID,ADT/ACK - Change alternate patient ID,D,,Deprecated,Deprecated
A49,ADT/ACK - Change patient account number,ADT/ACK - Change patient account number,A,,,
A50,ADT/ACK - Change visit number,ADT/ACK - Change visit number,A,,,
A51,ADT/ACK - Change alternate visit ID,ADT/ACK - Change alternate visit ID,A,,,
A52,ADT/ACK - Cancel leave of absence for a patient,ADT/ACK - Cancel leave of absence for a patient,A,,,
A53,ADT/ACK - Cancel patient returns from a leave of absence,ADT/ACK - Cancel patient returns from a leave of absence,A,,,
A54,ADT/ACK - Change attending doctor,ADT/ACK - Change attending doctor,A,,,
A55,ADT/ACK - Cancel change attending doctor,ADT/ACK - Cancel change attending doctor,A,,,
A60,ADT/ACK - Update allergy information,ADT/ACK - Update allergy information,A,,,
A61,ADT/ACK - Change consulting doctor,ADT/ACK - Change consulting doctor,A,,,
A62,ADT/ACK - Cancel change consulting doctor,ADT/ACK - Cancel change consulting doctor,A,,,
B01,PMU/ACK - Add personnel record,PMU/ACK - Add personnel record,A,,,
B02,PMU/ACK - Update personnel record,PMU/ACK - Update personnel record,A,,,
B03,PMU/ACK - Delete personnel re cord,PMU/ACK - Delete personnel re cord,A,,,
B04,PMU/ACK - Active practicing person,PMU/ACK - Active practicing person,A,,,
B05,PMU/ACK - Deactivate practicing person,PMU/ACK - Deactivate practicing person,A,,,
B06,PMU/ACK - Terminate practicing person,PMU/ACK - Terminate practicing person,A,,,
B07,PMU/ACK - Grant Certificate/Permission,PMU/ACK - Grant Certificate/Permission,A,,,
B08,PMU/ACK - Revoke Certificate/Permission,PMU/ACK - Revoke Certificate/Permission,A,,,
C01,CRM - Register a patient on a clinical trial,CRM - Register a patient on a clinical trial,A,,,
